_prepare_pmda(agent=sockets, names=sockets) __install_on_cleanup=false
Updating the Performance Metrics Name Space (PMNS) ...
Terminate PMDA if already installed ...
Updating the PMCD control file, and notifying PMCD ...
Check network.persocket metrics have appeared ... 66 metrics and 8841 values

network.persocket.v6only
    inst [0 or "udp/0.0.0.0:42693<->0.0.0.0:*"] value 0
    inst [1 or "udp/0.0.0.0:5353<->0.0.0.0:*"] value 0
    inst [2 or "udp/192.168.122.1:53<->0.0.0.0:*"] value 0
    inst [3 or "udp/127.0.0.1:53<->0.0.0.0:*"] value 0
    inst [4 or "udp/127.0.0.53%lo:53<->0.0.0.0:*"] value 0
    inst [5 or "udp/0.0.0.0%virbr0:67<->0.0.0.0:*"] value 0
    inst [6 or "udp/10.1.0.218%eth0:68<->0.0.0.0:*"] value 0
    inst [7 or "udp/127.0.0.1:323<->0.0.0.0:*"] value 0
    inst [8 or "udp6/[::]:5353<->[::]:*"] value 1
    inst [9 or "udp6/[::]:56810<->[::]:*"] value 1
    inst [10 or "udp6/[::1]:53<->[::]:*"] value 1
    inst [11 or "udp6/[::1]:323<->[::]:*"] value 1
    inst [12 or "tcp/0.0.0.0:8084<->0.0.0.0:*"] value 0
    inst [13 or "tcp/0.0.0.0:4330<->0.0.0.0:*"] value 0
    inst [14 or "tcp/127.0.0.1:6379<->0.0.0.0:*"] value 0
    inst [15 or "tcp/0.0.0.0:54323<->0.0.0.0:*"] value 0
    inst [16 or "tcp/0.0.0.0:54321<->0.0.0.0:*"] value 0
    inst [17 or "tcp/127.0.0.1:8953<->0.0.0.0:*"] value 0
    inst [18 or "tcp/127.0.0.1:53<->0.0.0.0:*"] value 0
    inst [19 or "tcp/192.168.122.1:53<->0.0.0.0:*"] value 0
    inst [20 or "tcp/0.0.0.0:44323<->0.0.0.0:*"] value 0
    inst [21 or "tcp/0.0.0.0:44322<->0.0.0.0:*"] value 0
    inst [22 or "tcp/0.0.0.0:44321<->0.0.0.0:*"] value 0
    inst [23 or "tcp/127.0.0.1:11211<->0.0.0.0:*"] value 0
    inst [24 or "tcp/127.0.0.53%lo:53<->0.0.0.0:*"] value 0
    inst [25 or "tcp/0.0.0.0:25<->0.0.0.0:*"] value 0
    inst [26 or "tcp/0.0.0.0:22<->0.0.0.0:*"] value 0
    inst [27 or "tcp/0.0.0.0:10050<->0.0.0.0:*"] value 0
    inst [32 or "tcp/127.0.0.1:54978<->127.0.0.1:54322"] value 0
    inst [34 or "tcp/127.0.0.1:54702<->127.0.0.1:54322"] value 0
    inst [46 or "tcp/127.0.0.1:54406<->127.0.0.1:54322"] value 0
    inst [59 or "tcp/127.0.0.1:54606<->127.0.0.1:54322"] value 0
    inst [61 or "tcp/127.0.0.1:54452<->127.0.0.1:54322"] value 0
    inst [66 or "tcp/127.0.0.1:54462<->127.0.0.1:54322"] value 0
    inst [69 or "tcp/127.0.0.1:54872<->127.0.0.1:54322"] value 0
    inst [71 or "tcp/127.0.0.1:54794<->127.0.0.1:54322"] value 0
    inst [73 or "tcp/127.0.0.1:55016<->127.0.0.1:54322"] value 0
    inst [77 or "tcp/127.0.0.1:54976<->127.0.0.1:54322"] value 0
    inst [83 or "tcp/127.0.0.1:54484<->127.0.0.1:54322"] value 0
    inst [92 or "tcp/127.0.0.1:54758<->127.0.0.1:54322"] value 0
    inst [93 or "tcp/127.0.0.1:54572<->127.0.0.1:54322"] value 0
    inst [97 or "tcp/127.0.0.1:54722<->127.0.0.1:54322"] value 0
    inst [98 or "tcp/127.0.0.1:54322<->127.0.0.1:55036"] value 0
    inst [110 or "tcp/127.0.0.1:54916<->127.0.0.1:54322"] value 0
    inst [112 or "tcp/127.0.0.1:55002<->127.0.0.1:54322"] value 0
    inst [116 or "tcp/127.0.0.1:54746<->127.0.0.1:54322"] value 0
    inst [119 or "tcp/127.0.0.1:54880<->127.0.0.1:54322"] value 0
    inst [120 or "tcp/127.0.0.1:54538<->127.0.0.1:54322"] value 0
    inst [121 or "tcp/127.0.0.1:54710<->127.0.0.1:54322"] value 0
    inst [122 or "tcp/127.0.0.1:54988<->127.0.0.1:54322"] value 0
    inst [130 or "tcp/127.0.0.1:54422<->127.0.0.1:54322"] value 0
    inst [131 or "tcp/127.0.0.1:54616<->127.0.0.1:54322"] value 0
    inst [132 or "tcp/127.0.0.1:54478<->127.0.0.1:54322"] value 0
    inst [136 or "tcp/127.0.0.1:54370<->127.0.0.1:54322"] value 0
    inst [140 or "tcp/127.0.0.1:54566<->127.0.0.1:54322"] value 0
    inst [143 or "tcp/127.0.0.1:54634<->127.0.0.1:54322"] value 0
