"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Jan 29 20:26:40 UTC 2026","Thu Jan 29 20:26:40 UTC 2026","0","","ubuntu1804-container","","","","QA 1171","PCP QA Test No. 1171

Exercise the BCC PMDA profile module - install, remove and values.



Copyright (c) 2018 Andreas Gerstmayr.



"
"passed","Thu Jan 29 20:21:25 UTC 2026","Thu Jan 29 20:21:25 UTC 2026","0","","ubuntu1804-i386-container","","","","QA 965","PCP QA Test No. 965

Exercise pmLoadDerivedConfig with multiple config files.



Copyright (c) 2015 Red Hat.



"
"skipped","Thu Jan 29 20:44:19 UTC 2026","Thu Jan 29 20:44:19 UTC 2026","0","","ubuntu1804-container","","","","QA 1456","PCP QA Test No. 1456

pmlogrewrite

- redact hostname from context labels

- redact hostname from archive label records



non-valgrind variant, see qa/1460 for the valgrind variant



Copyright (c) 2023 Ken McDonell.  All Rights Reserved.



"
"passed","Thu Jan 29 19:38:00 UTC 2026","Thu Jan 29 19:38:06 UTC 2026","6000","","ubuntu1804-container","","","","QA 427","PCP QA Test No. 427

bogus pmda entries in pmcd.conf

564017



Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Thu Jan 29 20:04:39 UTC 2026","Thu Jan 29 20:04:40 UTC 2026","1000","","ubuntu1804-i386-container","","","","QA 708","PCP QA Test No. 708

Exercise python PMI layer



Copyright (c) 2012 Red Hat.



"
"skipped","Thu Jan 29 20:50:10 UTC 2026","Thu Jan 29 20:50:13 UTC 2026","3000","","ubuntu1804-i386-container","","","","QA 1480","PCP QA Test No. 1480

Do PMDA lm-sensors testing



Copyright (c) 2018-2019 Red Hat.  All Rights Reserved.



"
"passed","Thu Jan 29 20:44:21 UTC 2026","Thu Jan 29 20:44:23 UTC 2026","2000","","ubuntu1804-i386-container","","","","QA 1376","PCP QA Test No. 1376

simplest pmlogextract test for V3 (and V2) archives ... no

delta indoms, so output archive should be the same as the

input archive



valgrind variant, see qa/1375 for the non-valgrind variant



Copyright (c) 2022 Ken McDonell.  All Rights Reserved.



check-group-include: pmdumplog pmlogextract



"
"passed","Thu Jan 29 20:48:12 UTC 2026","Thu Jan 29 20:48:17 UTC 2026","5000","","ubuntu1804-container","","","","QA 1536","PCP QA Test No. 1536

SUSE Issue D)

	ntohEventArray() Blindly Processes Client Provided nrecords



Copyright (c) 2024 Ken McDonell.  All Rights Reserved.



"
"passed","Thu Jan 29 20:04:11 UTC 2026","Thu Jan 29 20:04:18 UTC 2026","7000","","ubuntu2004-container","","","","QA 761","PCP QA Test No. 761

Exercise the PMCD privileged co-process (root) PMDA

Install, Remove and handling of different container

engines container.* metrics.



Copyright (c) 2014-2015 Red Hat.



"
"passed","Thu Jan 29 20:08:23 UTC 2026","Thu Jan 29 20:08:23 UTC 2026","0","","ubuntu2004-container","","","","QA 838","PCP QA Test No. 838

Check that -d option (duplicate are OK in the PMNS) is deprecated



Copyright (c) 2015 Ken McDonell.  All Rights Reserved.



"
"passed","Thu Jan 29 19:23:35 UTC 2026","Thu Jan 29 19:25:10 UTC 2026","95000","","ubuntu2004-container","","","","QA 279","PCP QA Test No. 279

Check recovery actions when procedures in pmdaproc.sh fail to

restart/start PMCD



Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Thu Jan 29 19:36:31 UTC 2026","Thu Jan 29 19:36:31 UTC 2026","0","","ubuntu2004-container","","","","QA 409","PCP QA Test No. 409

pminfo -x with an archive and event records

also needs a working pmlogger to generate the input archive

... see src/mkeventrec



Copyright (c) 2010 Ken McDonell.  All Rights Reserved.



"
"passed","Thu Jan 29 19:45:35 UTC 2026","Thu Jan 29 19:45:36 UTC 2026","1000","","ubuntu1804-i386-container","","","","QA 483","PCP QA Test No. 483

check pmlogrewrite config parser - metric clauses



Copyright (c) 2011 Ken McDonell.  All Rights Reserved.



"
