
=== spawn iter 1 Wed Jul 22 20:29:36 UTC 2026 ===
-rw-r--r-- 1 pcpqa pcpqa 481536 Jul 22 20:29 /tmp/611-709381.0
8 archive records

=== spawn iter 2 Wed Jul 22 20:29:37 UTC 2026 ===
-rw-r--r-- 1 pcpqa pcpqa 976468 Jul 22 20:29 /tmp/611-709381.0
14 archive records

=== spawn iter 3 Wed Jul 22 20:29:39 UTC 2026 ===
-rw-r--r-- 1 pcpqa pcpqa 1388416 Jul 22 20:29 /tmp/611-709381.0
21 archive records

=== spawn iter 4 Wed Jul 22 20:29:41 UTC 2026 ===
-rw-r--r-- 1 pcpqa pcpqa 1868972 Jul 22 20:29 /tmp/611-709381.0
28 archive records

=== spawn iter 5 Wed Jul 22 20:29:42 UTC 2026 ===
-rw-r--r-- 1 pcpqa pcpqa 2363888 Jul 22 20:29 /tmp/611-709381.0
34 archive records

=== spawn iter 6 Wed Jul 22 20:29:44 UTC 2026 ===
-rw-r--r-- 1 pcpqa pcpqa 2775864 Jul 22 20:29 /tmp/611-709381.0
42 archive records
Log for pmlogger on a6c014621735 started Wed Jul 22 20:29:36 2026

[Wed Jul 22 20:29:36] pmlogger(709442) Info: Start
preprocessor cmd: /usr/lib/pcp/bin/pmcpp -rs -I /var/lib/pcp/config/pmlogger /tmp/611-709381.config
cache_bind(): pmLookupName(1, proc.psinfo): Unknown metric name
Config parsed
Starting logger for host "a6c014621735" via "local:"
Archive basename: /tmp/611-709381
[Wed Jul 22 20:29:45] pmlogger(709442) Info: pmlogger: Sample limit reached, exiting

Log finished Wed Jul 22 20:29:45 2026

Instance Domains in the Log ...
InDom: 2.1
20:29:36.107168401 1 instances
   709442 or "709442"
InDom: 3.9
20:29:36.107168401 57 instances
   1 or "000001 /usr/lib/systemd/systemd"
   25 or "000025 /usr/lib/systemd/systemd-journald"
   67 or "000067 /usr/bin/dbus-daemon"
   68 or "000068 /usr/lib/systemd/systemd-logind"
   77 or "000077 /sbin/agetty"
   13536 or "013536 /usr/bin/containerd"
   13666 or "013666 /usr/sbin/unbound"
   13791 or "013791 /usr/sbin/cron"
   16972 or "016972 /usr/sbin/dockerd"
   17258 or "017258 /usr/bin/memcached"
   17350 or "017350 /usr/bin/valkey-server"
   18193 or "018193 /usr/sbin/zabbix_agentd"
   18194 or "018194 /usr/sbin/zabbix_agentd:"
   18195 or "018195 /usr/sbin/zabbix_agentd:"
   18196 or "018196 /usr/sbin/zabbix_agentd:"
   18197 or "018197 /usr/sbin/zabbix_agentd:"
   18198 or "018198 /usr/sbin/zabbix_agentd:"
   18199 or "018199 /usr/sbin/zabbix_agentd:"
   18200 or "018200 /usr/sbin/zabbix_agentd:"
   18201 or "018201 /usr/sbin/zabbix_agentd:"
   18202 or "018202 /usr/sbin/zabbix_agentd:"
   18203 or "018203 /usr/sbin/zabbix_agentd:"
   18204 or "018204 /usr/sbin/zabbix_agentd:"
   18206 or "018206 /usr/sbin/zabbix_agentd:"
   18492 or "018492 /usr/sbin/exim4"
   18610 or "018610 /usr/sbin/virtlogd"
   18959 or "018959 /usr/sbin/apache2"
   18961 or "018961 /usr/sbin/apache2"
   18962 or "018962 /usr/sbin/apache2"
   19058 or "019058 /usr/bin/htcacheclean"
   19271 or "019271 /usr/sbin/virtlockd"
   19924 or "019924 /usr/lib/systemd/systemd-machined"
   253385 or "253385 /usr/lib/systemd/systemd"
   253387 or "253387 (sd-pam)"
   264219 or "264219 bash"
   264220 or "264220 sudo"
   264221 or "264221 tee"
   264223 or "264223 /bin/sh"
   700682 or "700682 /usr/lib/pcp/bin/pmcd"
   700685 or "700685 /var/lib/pcp/pmdas/root/pmdaroot"
   700686 or "700686 /var/lib/pcp/pmdas/proc/pmdaproc"
   700687 or "700687 /var/lib/pcp/pmdas/xfs/pmdaxfs"
   700688 or "700688 /var/lib/pcp/pmdas/sample/pmdasample"
   700689 or "700689 /var/lib/pcp/pmdas/linux/pmdalinux"
   700690 or "700690 /usr/bin/python3"
   700694 or "700694 /var/lib/pcp/pmdas/kvm/pmdakvm"
   700695 or "700695 /var/lib/pcp/pmdas/dm/pmdadm"
   700696 or "700696 /usr/bin/python3"
   700700 or "700700 /usr/bin/python3"
   700709 or "700709 /var/lib/pcp/pmdas/simple/pmdasimple"
   701196 or "701196 /usr/lib/pcp/bin/pmlogger"
   701264 or "701264 /bin/sh"
   709380 or "709380 timeout"
   709381 or "709381 /bin/sh"
   709441 or "709441 /bin/sh"
   709442 or "709442 pmlogger"
   709444 or "709444 src/spawn"
20:29:36.356957303 58 instances
   1 or "000001 /usr/lib/systemd/systemd"
   25 or "000025 /usr/lib/systemd/systemd-journald"
   67 or "000067 /usr/bin/dbus-daemon"
   68 or "000068 /usr/lib/systemd/systemd-logind"
   77 or "000077 /sbin/agetty"
   13536 or "013536 /usr/bin/containerd"
   13666 or "013666 /usr/sbin/unbound"
   13791 or "013791 /usr/sbin/cron"
   16972 or "016972 /usr/sbin/dockerd"
   17258 or "017258 /usr/bin/memcached"
   17350 or "017350 /usr/bin/valkey-server"
   18193 or "018193 /usr/sbin/zabbix_agentd"
   18194 or "018194 /usr/sbin/zabbix_agentd:"
