

ATOP - runnervmzvulz  2026/08/16  20:20:04  -----------------    2h3m58s elapsed
PRC | sys   35.82s | user  28.05s | #proc    220 | #tidle    88 | no  procacct |
CPU | sys      51% | user     66% | irq       0% | idle    284% | wait      0% |
cpu | sys      17% | user     21% | irq       0% | idle     62% | cpu003 w  0% |
cpu | sys      11% | user     15% | irq       0% | idle     73% | cpu002 w  0% |
cpu | sys      10% | user     17% | irq       0% | idle     73% | cpu000 w  0% |
cpu | sys      13% | user     11% | irq       0% | idle     76% | cpu001 w  0% |
CPL | numcpu     4 | avg1    1.04 | avg5    0.78 | csw     4584 | intr    5287 |
MEM | tot    15.6G | free    4.0G | avail  14.1G | cache   8.8G | slab    1.1G |
MEM | numnode    1 | shmem  51.6M | pgtab   2.8M | anthp 312.0M | zfarc   0.0M |
SWP | tot     3.0G | free    3.0G | swcac   0.0M | vmcom   2.9G | vmlim  10.8G |
PAG | numamig    0 | migrate    0 | pgin       0 | pgout      4 | oomkill    0 |
DSK |            0 | busy      0% | read       0 | write      1 | avio  0.0 ns |
NET | transport    | tcpi      15 | tcpo      21 | udpi       0 | udpo       0 |
NET | network      | ipi       15 | ipo       20 | ipfrw      0 | deliv     15 |
NET | 1         0% | pcki      16 | pcko      20 | si    0 Kbps | so    0 Kbps |
NET | 2         0% | pcki       1 | pcko      21 | si    0 Kbps | so    0 Kbps |

    PID SYSCPU USRCPU BDELAY  VGROW  RGROW  RDDSK  WRDSK  CPU CMD            
1051999  2.36s  3.73s  0.00s 131.0M 120.5M     0B     0B 200% pmproxy        
   2110  3.08s  2.94s  0.00s 262.0G 148.5M     0B     0B 400% Runner.Worker  
   1404  1.02s  3.74s  0.00s 444.0M  37.2M     0B     0B 400% python3        
  11434  2.29s  2.24s  0.00s  17.2M   7.7M     0B     0B 100% systemd-machin 
1120140  2.60s  0.58s  0.00s  15.5M   7.7M     0B     0B 100% pmcd           
    921  0.00s  2.99s  0.00s  20.2M  11.4M     0B     0B 100% systemd-logind 
    155  0.00s  2.81s  0.00s 155.0M  54.3M     0B     0B 100% systemd-journa 
 267991  1.98s  0.25s  0.00s   3.3M   2.5M     0B     0B 100% check          
    992  2.17s  0.00s  0.00s   1.9G  46.1M     0B     0B 220% containerd     
   1030  1.28s  0.87s  0.00s  11.0M   3.3M     0B     0B 100% chronyd        
  11833  1.34s  0.79s  0.00s 225.3M   5.5M     0B     0B 216% rsyslogd       
     30  1.92s  0.00s  0.00s     0B     0B     0B     0B 100% ksoftirqd/1    
     36  1.90s  0.00s  0.00s     0B     0B     0B     0B 100% ksoftirqd/3    
  10745  1.86s  0.00s  0.00s 108.8M  29.6M     0B     0B 189% redis-server   
    911  0.43s  0.77s  0.00s 332.9M   7.7M     0B     0B 122% polkitd        
    103  1.14s  0.00s  0.00s     0B     0B     0B     0B 100% jbd2/sda1-8    
   1406  0.30s  0.60s  0.00s   2.0G  73.5M     0B     0B  91% dockerd        
   2028  0.39s  0.50s  0.00s   1.2G  16.3M     0B     0B  90% hosted-compute 
   2089  0.19s  0.67s  0.00s 261.6G 122.1M     0B     0B  87% Runner.Listene 
1120147  0.49s  0.31s  0.00s  14.6M   6.7M     0B     0B  81% pmdalinux      
 413798  0.75s  0.00s  0.00s     0B     0B     0B     0B  76% kworker/u16:1- 
     29  0.73s  0.00s  0.00s     0B     0B     0B     0B  74% migration/1    
     35  0.73s  0.00s  0.00s     0B     0B     0B     0B  74% migration/3    
 632859  0.67s  0.00s  0.00s     0B     0B     0B     0B  68% kworker/u16:2- 
   8038  0.30s  0.31s  0.00s 474.5M   4.8M     0B     0B  62% memcached      
1128132  0.12s  0.42s  0.00s  18.9M   8.6M     0B     0B  56% xz             
    219  0.49s  0.03s  0.00s 362.2M  42.4M     0B     0B  53% multipathd     
    909  0.28s  0.15s  0.00s 288.3M  49.6M     0B     0B  44% php-fpm8.3     
     51  0.42s  0.00s  0.00s     0B     0B     0B     0B  43% khugepaged     
1120143  0.26s  0.13s  0.00s  14.6M   6.0M     0B     0B  40% pmdaroot       
1120644  0.14s  0.23s  0.00s  16.6M   8.4M     0B     0B  37% pmlogger       
1120144  0.27s  0.09s  0.00s  15.3M   7.1M     0B     0B  36% pmdaproc       
    226  0.15s  0.20s  0.00s  25.6M   7.3M     0B     0B  35% systemd-udevd  
    596  0.04s  0.30s  0.00s   8.3M   4.8M     0B     0B  34% haveged        
1120154  0.14s  0.19s  0.00s 398.7M  33.9M     0B     0B  33% python3        
1120158  0.13s  0.20s  0.00s 125.7M  33.6M     0B     0B  33% python3        
    523  0.16s  0.14s  0.00s  21.3M  12.7M     0B     0B  30% systemd-resolv 
