"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 24 20:19:15 UTC 2026","Mon Aug 24 20:19:16 UTC 2026","1000","","fedora44-container","","","","QA 470","PCP QA Test No. 470

multi-thread - basic context contention



Copyright (c) 2011 Ken McDonell.  All Rights Reserved.



"
"passed","Mon Aug 24 19:15:25 UTC 2026","Mon Aug 24 19:15:25 UTC 2026","0","","ubuntu2204-container","","","","QA 089","PCP QA Test No. 089

interpolate a monotonic increasing value



Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Mon Aug 24 20:08:12 UTC 2026","Mon Aug 24 20:08:13 UTC 2026","1000","","ubuntu2204","","","","QA 685","PCP QA Test No. 685

PMNS rebuild should not include root_foo if the foo PMDA is not

in pmcd.conf



Test relies on NO qa PMDA being defined in pmcd.conf.



Copyright (c) 2018 Ken McDonell.  All Rights Reserved.



"
"passed","Mon Aug 24 20:03:21 UTC 2026","Mon Aug 24 20:03:22 UTC 2026","1000","","ubuntu2604","","","","QA 645","PCP QA Test No. 645

pmlogger config with hyphens in hostname - #828416



Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Mon Aug 24 22:04:36 UTC 2026","Mon Aug 24 22:04:38 UTC 2026","2000","","fedora43-container","","","","QA 1583","PCP QA Test No. 1583

Very old https://bugzilla.redhat.com/show_bug.cgi?id=958745



valgrind variant, see qa/1582 for the non-valgrind variant



check-group-include: archive



Copyright (c) 2025 Ken McDonell.  All Rights Reserved.



"
"passed","Mon Aug 24 19:56:04 UTC 2026","Mon Aug 24 19:56:22 UTC 2026","18000","","ubuntu2204","","","","QA 572","PCP QA Test No. 572

pmcd agent table relocation and libpcp_pmda botch for PMDA_INTERFACE_3.

linux PMDA returns no values after weblog Install was the original

observation.



Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Mon Aug 24 19:16:43 UTC 2026","Mon Aug 24 19:16:44 UTC 2026","1000","","ubuntu2004-container","","","","QA 158","PCP QA Test No. 158



-S and -T values that are _both_ before the start, or after the end

of an archive ... for cmds in the open source PCP release (see also

160)



PV 928021



Copyright (c) 2002 Silicon Graphics, Inc.  All Rights Reserved.

"
"passed","Mon Aug 24 20:07:26 UTC 2026","Mon Aug 24 20:07:36 UTC 2026","10000","","ubuntu2004","","","","QA 679","PCP QA Test No. 679

pmlogger_daily -R -> pmlogger_rewrite



Copyright (c) 2018 Ken McDonell.  All Rights Reserved.



"
"passed","Mon Aug 24 19:56:25 UTC 2026","Mon Aug 24 19:56:26 UTC 2026","1000","","ubuntu2204","","","","QA 577","PCP QA Test No. 577

pmlogger leaves zombie pmcpp process?



Copyright (c) 2017 Ken McDonell.  All Rights Reserved.



"
"passed","Mon Aug 24 20:38:21 UTC 2026","Mon Aug 24 20:38:23 UTC 2026","2000","","debian12-container","","","","QA 924","PCP QA Test No. 924

pmdadocker threading safety



Copyright (c) 2016-2017 Red Hat.  All Rights Reserved.



"
"passed","Mon Aug 24 19:11:03 UTC 2026","Mon Aug 24 19:11:04 UTC 2026","1000","","ubuntu1804-container","","","","QA 125","PCP QA Test No. 125

pv 910632

__pmLogFetchInterp doing way more reading than it needs to.



Copyright (c) 2002 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Mon Aug 24 19:47:23 UTC 2026","Mon Aug 24 19:47:23 UTC 2026","0","","ubuntu2404-container","","","","QA 303","PCP QA Test No. 303

merge two archives, and check that mark records are placed in the

correct positions!!!



Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Mon Aug 24 20:53:52 UTC 2026","Mon Aug 24 20:53:52 UTC 2026","0","","centos-stream10-container","","","","QA 1047","PCP QA Test No. 1047 (formerly 528)

rules file syntax parsing & value/type checking



Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Mon Aug 24 20:31:38 UTC 2026","Mon Aug 24 20:31:40 UTC 2026","2000","","ubuntu2204","","","","QA 1033","PCP QA Test No. 1033

Exercise the named PMDA.



Copyright (c) 2016 Red Hat.



"
"passed","Mon Aug 24 19:04:16 UTC 2026","Mon Aug 24 19:04:17 UTC 2026","1000","","centos-stream8-container","","","","QA 027","PCP QA Test No. 027

exercise pmConvScale and pmUnitsStr



Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Mon Aug 24 20:42:54 UTC 2026","Mon Aug 24 20:42:56 UTC 2026","2000","","debian12-container","","","","QA 999","PCP QA Test No. 999

Check PMNS integrity after all the PMDA Install/Removes



Copyright (c) 2014 Ken McDonell.  All Rights Reserved.



"
"passed","Mon Aug 24 21:14:57 UTC 2026","Mon Aug 24 21:14:58 UTC 2026","1000","","fedora43-container","","","","QA 1114","PCP QA Test No. 1114

Exercise $PCP_IGNORE_MARK_RECORDS with multi-archives.



Copyright (c) 2017 Ken McDonell.  All Rights Reserved.



"
"passed","Mon Aug 24 20:52:10 UTC 2026","Mon Aug 24 20:52:13 UTC 2026","3000","","ubuntu2204","","","","QA 1228","PCP QA Test No. 1228

pmiectl - mixed class and hostname tests - status action



see qa/1205 for the pmlogctl variant of this test



Copyright (c) 2020 Ken McDonell.  All Rights Reserved.



"
"skipped","Mon Aug 24 21:28:10 UTC 2026","Mon Aug 24 21:28:10 UTC 2026","0","","centos-stream10-container","","","","QA 1357","PCP QA Test No. 1357

Verify podman PMDA memory accesses using valgrind.



Copyright (c) 2018,2021 Red Hat.



"
"passed","Mon Aug 24 21:02:02 UTC 2026","Mon Aug 24 21:02:03 UTC 2026","1000","","ubuntu1804-i386-container","","","","QA 1338","PCP QA Test No. 1338

Test that context labels can be created, deleted and rewritten

by pmlogrewrite(1)



Copyright (c) 2018 Red Hat.  All Rights Reserved.



"
"skipped","Mon Aug 24 21:19:22 UTC 2026","Mon Aug 24 21:19:22 UTC 2026","0","","ubuntu2204-container","","","","QA 1378","PCP QA Test No. 1378

simplest pmlogextract test for V3 (and V2) archives ... with

delta indoms ... output archive should be the same as the

input archive



non-valgrind variant, see qa/1380 for the valgrind variant



See qa/1375 for the non-delta indom version of this test.



Copyright (c) 2022 Ken McDonell.  All Rights Reserved.



"
"passed","Mon Aug 24 20:42:41 UTC 2026","Mon Aug 24 20:42:41 UTC 2026","0","","debian12-container","","","","QA 989","PCP QA Test No. 989

Check different semantics between pmFetch and pmFetchArchive



Copyright (c) 2015 Ken McDonell.  All Rights Reserved.



"
"passed","Mon Aug 24 21:12:48 UTC 2026","Mon Aug 24 21:12:48 UTC 2026","0","","ubuntu1804-container","","","","QA 1677","PCP QA Test No. 1677

check values for power and thermal metrics from darwin PMDA



Copyright (c) 2026 Ken McDonell.  All Rights Reserved.



"
"passed","Mon Aug 24 20:56:27 UTC 2026","Mon Aug 24 20:56:27 UTC 2026","0","","ubuntu1804-i386-container","","","","QA 1268","PCP QA Test No. 1268

per-context derived metrics and metric name masking test



Copyright (c) 2020 Ken McDonell.  All Rights Reserved.



"
"passed","Mon Aug 24 22:08:53 UTC 2026","Mon Aug 24 22:08:54 UTC 2026","1000","","fedora44-container","","","","QA 1556","PCP QA Test No. 1556

pmlogconf ""force"" clause



see https://github.com/performancecopilot/pcp/issues/2114



Copyright (c) 2025 Ken McDonell.  All Rights Reserved.



"
"passed","Mon Aug 24 20:05:12 UTC 2026","Mon Aug 24 20:05:14 UTC 2026","2000","","ubuntu2604-container","","","","QA 626","PCP QA Test No. 626

pmlogger_daily with -x 0 and previously failing to merge correctly

... list of files below comes from an observed interactive run

of pmlogger_daily during -x 0 development



Copyright (c) 2018 Ken McDonell.  All Rights Reserved.



"
"passed","Mon Aug 24 22:14:31 UTC 2026","Mon Aug 24 22:14:34 UTC 2026","3000","","fedora42-container","","","","QA 1681","PCP QA Test No. 1681

Exercise pmrepconf generating pmrep.conf(5) format.



Note: pmrepconf is a symink to pmlogconf



Copyright (c) 2020 Red Hat.  All Rights Reserved.



check-group-include: pmlogconf



"
"passed","Mon Aug 24 20:55:20 UTC 2026","Mon Aug 24 20:55:23 UTC 2026","3000","","ubuntu1804-i386-container","","","","QA 1242","PCP QA Test No. 1242

Test libpcp multi-archive support using pmrep



Copyright (c) 2017 Red Hat.  All Rights Reserved.



"
"passed","Mon Aug 24 19:22:41 UTC 2026","Mon Aug 24 19:22:42 UTC 2026","1000","","ubuntu2204-container","","","","QA 141","PCP QA Test No. 141

pmNewContext and archive and fullpathname bug



Copyright (c) 1995-2002 Silicon Graphics, Inc.  All Rights Reserved.



"
"passed","Mon Aug 24 21:29:02 UTC 2026","Mon Aug 24 21:29:04 UTC 2026","2000","","centos-stream10-container","","","","QA 1372","PCP QA Test No. 1372

pmie segv reported by Lukas Oliva <lukas.oliva@mavenir.com>



Copyright (c) 2019 Ken McDonell.  All Rights Reserved.



"
"passed","Mon Aug 24 19:53:17 UTC 2026","Mon Aug 24 19:53:19 UTC 2026","2000","","ubuntu2204","","","","QA 533","PCP QA Test No. 533

Exercise ipv6 socket open command in dbpmda



Copyright (c) 2013 Red Hat.



"
"passed","Mon Aug 24 20:52:07 UTC 2026","Mon Aug 24 20:52:10 UTC 2026","3000","","centos-stream10-container","","","","QA 982","PCP QA Test No. 982

Exercise basic hotproc fname predicate handling via pmstore.



Copyright (c) 2015 Red Hat.  All Rights Reserved.



"
"passed","Mon Aug 24 21:06:36 UTC 2026","Mon Aug 24 21:06:38 UTC 2026","2000","","debian13-container","","","","QA 1256","PCP QA Test No. 1256

per-context derived metrics with pmDupContext() in the mix

- valgrind version of qa/1254



Copyright (c) 2020 Ken McDonell.  All Rights Reserved.



"
"passed","Mon Aug 24 20:15:17 UTC 2026","Mon Aug 24 20:15:18 UTC 2026","1000","","fedora43-container","","","","QA 493","PCP QA Test No. 493

pmlogrewrite serious rewriting cases



Copyright (c) 2011 Ken McDonell.  All Rights Reserved.



"
"passed","Mon Aug 24 20:30:18 UTC 2026","Mon Aug 24 20:30:19 UTC 2026","1000","","centos-stream8-container","","","","QA 732","PCP QA Test No. 732

Exercise the Linux kernel NFS/RPC metrics.



Copyright (c) 2014 Red Hat.



"
"broken","Mon Aug 24 20:33:22 UTC 2026","Mon Aug 24 20:38:23 UTC 2026","301000","","ubuntu2204-container","","","","QA 867","PCP QA Test No. 867

Exercise libpcp_web HTTP client interfaces.



Copyright (c) 2016,2019 Red Hat.



**To reproduce this test, please run:**

    build/ci/ci-run.py ubuntu2204-container reproduce"
"passed","Mon Aug 24 19:52:10 UTC 2026","Mon Aug 24 19:52:10 UTC 2026","0","","ubuntu2004-container","","","","QA 476","PCP QA Test No. 476

Check the basic fault injection services, especially the parsing

of the control file.



Copyright (c) 2011 Ken McDonell.  All Rights Reserved.



"
"passed","Mon Aug 24 20:33:30 UTC 2026","Mon Aug 24 20:33:31 UTC 2026","1000","","ubuntu2004","","","","QA 1078","PCP QA Test No. 1078

Exercise pcp pidstat for an archive



Copyright (c) 2016 Sitaram Shelke.



"
"passed","Mon Aug 24 20:25:19 UTC 2026","Mon Aug 24 20:25:28 UTC 2026","9000","","debian12-container","","","","QA 812","PCP QA Test No. 812

pmlogextract with config file and various instance specifications



Copyright (c) 2015 Ken McDonell.  All Rights Reserved.



"
"passed","Mon Aug 24 20:17:28 UTC 2026","Mon Aug 24 20:17:28 UTC 2026","0","","ubuntu2404","","","","QA 836","PCP QA Test No. 836

Exercise pmdiff(1) script functionality.



Copyright (c) 2014 Red Hat.



"
