

ATOP - runnervmejwal  2026/09/06  21:50:06  -----------------   1h59m39s elapsed
PRC | sys   21.80s | user  15.14s | #proc    222 | #tidle    89 | no  procacct |
CPU | sys      53% | user     65% | irq       0% | idle    283% | wait      0% |
cpu | sys      22% | user     32% | irq       0% | idle     45% | cpu003 w  0% |
cpu | sys      20% | user     26% | irq       0% | idle     54% | cpu002 w  0% |
cpu | sys       6% | user      5% | irq       0% | idle     89% | cpu001 w  0% |
cpu | sys       5% | user      1% | irq       0% | idle     94% | cpu000 w  0% |
CPL | numcpu     4 | avg1    0.82 | avg5    0.79 | csw     4446 | intr    5226 |
MEM | tot    15.6G | free    4.0G | avail  14.1G | cache   8.8G | slab    1.2G |
MEM | numnode    1 | shmem  50.8M | pgtab   2.6M | anthp 286.0M | zfarc   0.0M |
SWP | tot     3.0G | free    3.0G | swcac   0.0M | vmcom   2.8G | vmlim  10.8G |
PAG | numamig    0 | migrate    0 | pgin       0 | pgout      4 | oomkill    0 |
DSK |            0 | busy      0% | read       0 | write      1 | avio  0.0 ns |
NET | transport    | tcpi      15 | tcpo      21 | udpi       0 | udpo       0 |
NET | network      | ipi       15 | ipo       20 | ipfrw      0 | deliv     15 |
NET | 1         0% | pcki      15 | pcko      20 | si    0 Kbps | so    0 Kbps |
NET | 2         0% | pcki      16 | pcko      21 | si    0 Kbps | so    0 Kbps |

    PID SYSCPU USRCPU BDELAY  VGROW  RGROW  RDDSK  WRDSK  CPU CMD            
1062078  2.64s  3.36s  0.00s 131.8M 125.3M     0B     0B 200% pmproxy        
   2120  2.46s  3.30s  0.00s 262.0G 139.5M     0B     0B 400% Runner.Worker  
   1013  3.94s  1.69s  0.00s  19.4M  10.2M     0B     0B 100% systemd-logind 
  12107  2.22s  1.70s  0.00s  17.2M   7.6M     0B     0B 100% systemd-machin 
1130226  2.45s  0.51s  0.00s  15.5M   7.7M     0B     0B 100% pmcd           
    103  1.08s  0.00s  0.00s     0B     0B     0B     0B 100% jbd2/sda1-8    
1130233  0.49s  0.31s  0.00s  14.6M   6.7M     0B     0B  81% pmdalinux      
   2025  0.31s  0.43s  0.00s   1.2G  16.9M     0B     0B  75% hosted-compute 
 486286  0.74s  0.00s  0.00s     0B     0B     0B     0B  75% kworker/u16:0- 
   1161  0.24s  0.47s  0.00s   2.0G  70.9M     0B     0B  72% dockerd        
   2101  0.15s  0.46s  0.00s 261.6G 122.6M     0B     0B  62% Runner.Listene 
   8029  0.25s  0.32s  0.00s 474.5M   4.7M     0B     0B  58% memcached      
    223  0.35s  0.15s  0.00s 362.2M  42.7M     0B     0B  51% multipathd     
     51  0.45s  0.00s  0.00s     0B     0B     0B     0B  45% khugepaged     
1130730  0.13s  0.25s  0.00s  18.1M   8.7M     0B     0B  38% pmlogger       
1130229  0.27s  0.09s  0.00s  16.0M   6.1M     0B     0B  36% pmdaroot       
