QA output created by 1989

pcp-slabinfo output : Display default output
Linux  5.4.17-2136.317.5.3.el8uek.x86_64  (localhost.localdomain)  08/02/23  x86_64    (4 CPU)
TimeStamp         Name                               active_objs         num_objs         objsize byte         objperslab         pagesperslab         active_slabs         num_slabs
10:25:20          Acpi-Operand                            4592               4592                 72                56                   1                 82                 82
10:25:20          Acpi-Parse                            314423             315652                 56                73                   1               4324               4324
10:25:20          Acpi-State                               765                765                 80                51                   1                 15                 15
10:25:20          anon_vma                               11481              11895                104                39                   1                305                305
10:25:20          anon_vma_chain                         18269              19264                 64                64                   1                301                301
10:25:20          avc_xperms_data                         8192               8192                 32               128                   1                 64                 64
10:25:20          avtab_extended_perms                  276216             276216                 40               102                   1               2708               2708
10:25:20          avtab_node                            401880             401880                 24               170                   1               2364               2364
10:25:20          bdev_cache                                72                 72                896                18                   4                  4                  4
10:25:20          bfq_io_cq                                  0                  0                160                25                   1                  0                  0
10:25:20          biovec-128                                64                 64               2048                16                   8                  4                  4
10:25:20          biovec-64                                 64                 64               1024                16                   4                  4                  4
10:25:20          biovec-max                               148                192               4096                 8                   8                 24                 24
10:25:20          blkdev_ioc                               210                210                136                30                   1                  7                  7
10:25:20          buffer_head                              117                117                104                39                   1                  3                  3
10:25:20          cred_jar                                1651               1848                192                21                   1                 88                 88
10:25:20          dax_cache                                 57                 57                832                19                   4                  3                  3
10:25:20          dentry                                346540             346655                208                19                   1              18245              18245
10:25:20          dio                                        0                  0                640                25                   4                  0                  0
10:25:20          dm_uevent                                  0                  0               2664                12                   8                  0                  0
10:25:20          dma-kmalloc-128                            0                  0                128                32                   1                  0                  0
10:25:20          dma-kmalloc-16                             0                  0                 16               256                   1                  0                  0
10:25:20          dma-kmalloc-192                            0                  0                192                21                   1                  0                  0
10:25:20          dma-kmalloc-1k                             0                  0               1024                16                   4                  0                  0
10:25:20          dma-kmalloc-256                            0                  0                256                16                   1                  0                  0
10:25:20          dma-kmalloc-2k                             0                  0               2048                16                   8                  0                  0
10:25:20          dma-kmalloc-32                             0                  0                 32               128                   1                  0                  0
10:25:20          dma-kmalloc-4k                             0                  0               4096                 8                   8                  0                  0
10:25:20          dma-kmalloc-512                            0                  0                512                16                   2                  0                  0
10:25:20          dma-kmalloc-64                             0                  0                 64                64                   1                  0                  0
10:25:20          dma-kmalloc-8                              0                  0                  8               512                   1                  0                  0
10:25:20          dma-kmalloc-8k                             0                  0               8192                 4                   8                  0                  0
10:25:20          dma-kmalloc-96                             0                  0                 96                42                   1                  0                  0
10:25:20          dmaengine-unmap-128                       30                 30               1088                30                   8                  1                  1
10:25:20          dmaengine-unmap-16                     35280              35280                192                21                   1               1680               1680
10:25:20          dmaengine-unmap-256                       15                 15               2112                15                   8                  1                  1
10:25:20          dnotify_struct                             0                  0                 32               128                   1                  0                  0
10:25:20          dquot                                      0                  0                256                16                   1                  0                  0
10:25:20          eventpoll_pwq                            728                728                 72                56                   1                 13                 13
10:25:20          file_lock_cache                           90                 90                216                18                   1                  5                  5
10:25:20          files_cache                              230                230                704                23                   4                 10                 10
10:25:20          filp                                   10324              11808                256                16                   1                738                738
10:25:20          fscrypt_ctx                                0                  0                 80                51                   1                  0                  0
10:25:20          ftrace_event_field                      4505               4505                 48                85                   1                 53                 53
10:25:20          fuse_inode                                19                 19                832                19                   4                  1                  1
10:25:20          hugetlbfs_inode_cache                     69                 69                704                23                   4                  3                  3
10:25:20          iint_cache                                 0                  0                120                34                   1                  0                  0
10:25:20          inode_cache                            26084              27100                640                25                   4               1084               1084
10:25:20          ip4-frags                                 68                 68                232                17                   1                  4                  4
10:25:20          isofs_inode_cache                         69                 69                688                23                   4                  3                  3
10:25:20          kcopyd_job                                 0                  0               3312                 9                   8                  0                  0
10:25:20          kernfs_node_cache                      30207              31230                136                30                   1               1041               1041
10:25:20          khugepaged_mm_slot                       144                144                112                36                   1                  4                  4
10:25:20          kioctx                                    92                 92                704                23                   4                  4                  4
10:25:20          kmalloc-128                             5693               5856                128                32                   1                183                183
10:25:20          kmalloc-16                            301056             301056                 16               256                   1               1176               1176
10:25:20          kmalloc-192                            26187              26187                192                21                   1               1247               1247
10:25:20          kmalloc-1k                              4037               4352               1024                16                   4                272                272
10:25:20          kmalloc-256                            15322              15376                256                16                   1                961                961
10:25:20          kmalloc-2k                               697                768               2048                16                   8                 48                 48
10:25:20          kmalloc-32                            324323             326144                 32               128                   1               2548               2548
10:25:20          kmalloc-4k                              1657               1728               4096                 8                   8                216                216
10:25:20          kmalloc-512                             4174               8144                512                16                   2                509                509
10:25:20          kmalloc-64                            306657             307328                 64                64                   1               4802               4802
10:25:20          kmalloc-8                             424448             424448                  8               512                   1                829                829
10:25:20          kmalloc-8k                                69                 84               8192                 4                   8                 21                 21
10:25:20          kmalloc-96                              6342               6342                 96                42                   1                151                151
10:25:20          kmalloc-rcl-128                         2848               2848                128                32                   1                 89                 89
10:25:20          kmalloc-rcl-16                             0                  0                 16               256                   1                  0                  0
10:25:20          kmalloc-rcl-192                         1554               1554                192                21                   1                 74                 74
10:25:20          kmalloc-rcl-1k                             0                  0               1024                16                   4                  0                  0
10:25:20          kmalloc-rcl-256                          224                224                256                16                   1                 14                 14
10:25:20          kmalloc-rcl-2k                             0                  0               2048                16                   8                  0                  0
10:25:20          kmalloc-rcl-32                             0                  0                 32               128                   1                  0                  0
10:25:20          kmalloc-rcl-4k                             0                  0               4096                 8                   8                  0                  0
10:25:20          kmalloc-rcl-512                           64                 64                512                16                   2                  4                  4
10:25:20          kmalloc-rcl-64                         11648              11648                 64                64                   1                182                182
10:25:20          kmalloc-rcl-8                              0                  0                  8               512                   1                  0                  0
10:25:20          kmalloc-rcl-8k                             0                  0               8192                 4                   8                  0                  0
10:25:20          kmalloc-rcl-96                          5334               5334                 96                42                   1                127                127
10:25:20          kmem_cache                               176                176                512                16                   2                 11                 11
10:25:20          kmem_cache_node                          256                256                 64                64                   1                  4                  4
10:25:20          lsm_file_cache                         12032              12032                 16               256                   1                 47                 47
10:25:20          mm_struct                                224                224               1152                28                   8                  8                  8
10:25:20          mnt_cache                               1500               1500                320                25                   2                 60                 60
